,0
0,716
1,73596
2,69710
3,7418
4,2972
5,19341
6,24942
7,94960
8,51997
9,22591
10,33450
11,57393
12,6231
13,98534
14,943
15,63093
16,54230
17,33973
18,48311
19,100797
20,14481
21,41972
22,15488
23,66695
24,95456
25,37411
26,101906
27,785
28,55017
29,55839
30,31216
31,60104
32,62244
33,85426
34,41039
35,5006
36,73086
37,78250
38,31918
39,80620
40,3787
41,59226
42,44517
43,61275
44,64253
45,93213
46,25482
47,18965
48,9638
49,44713
50,33787
51,73088
52,84823
53,41448
54,71117
55,45555
56,56002
57,92495
58,28651
59,56826
60,63310
61,32992
62,31483
63,73405
64,9279
65,97411
66,62817
67,82772
68,16311
69,72987
70,29887
71,76593
72,77050
73,87684
74,69444
75,60500
76,48692
77,58950
78,85149
79,43537
80,17452
81,92379
82,100023
83,80029
84,70966
85,98058
86,41655
87,98739
88,97997
89,24515
90,45937
91,30814
92,31358
93,38138
94,74645
95,34667
96,62767
97,10570
98,55365
99,14157
100,50519
101,16146
102,63891
103,86105
104,97541
105,67038
106,51222
107,101946
108,89407
109,61376
110,65254
111,40328
112,67648
113,69405
114,48037
115,59854
116,53028
117,19307
118,59879
119,93612
120,7941
121,9872
122,9492
123,37744
124,98269
125,80180
126,13180
127,44664
128,30748
129,76464
130,65994
131,10227
132,58659
133,66313
134,96596
135,13488
136,101707
137,46865
138,10950
139,5649
140,31902
141,100527
142,32120
143,3000
144,13530
145,20416
146,74178
147,98772
148,33681
149,36719
150,40577
151,64802
152,58349
153,77264
154,27518
155,68831
156,65836
157,25969
158,61440
159,27085
160,95582
161,31724
162,42150
163,92338
164,76013
165,12484
166,1496
167,53540
168,34379
169,92539
170,81975
171,46864
172,8333
173,43471
174,101561
175,38194
176,38414
177,28550
178,27253
179,57742
180,66432
181,55988
182,40174
183,102978
184,38878
185,46379
186,96856
187,3847
188,60835
189,23693
190,17924
191,48281
192,97273
193,71023
194,7009
195,65094
196,27300
197,7745
198,103386
199,67452
200,76190
201,94896
202,75889
203,15989
204,84653
205,96025
206,36713
207,54458
208,75297
209,98763
210,15064
211,59195
212,101765
213,44903
214,98235
215,66234
216,85827
217,104084
218,29857
219,36428
220,60509
221,14642
222,84950
223,51215
224,89533
225,25175
226,62814
227,28434
228,10244
229,77045
230,32479
231,101735
232,12210
233,4259
234,47263
235,2069
236,100214
237,98320
238,54553
239,35874
240,24894
241,13964
242,100922
243,16204
244,94332
245,18176
246,56827
247,73704
248,97908
249,79953
250,14290
251,84350
252,75190
253,9413
254,19409
255,993
256,49798
257,76263
258,28911
259,91595
260,71746
261,57734
262,97162
263,13368
264,81195
265,23940
266,75822
267,64532
268,100459
269,79772
270,20074
271,31656
272,48029
273,27304
274,43525
275,55398
276,65095
277,71624
278,22492
279,24481
280,36911
281,23274
282,77702
283,22445
284,23491
285,31133
286,92848
287,8068
288,78752
289,7109
290,18206
291,90379
292,18563
293,91746
294,12711
295,35276
296,74256
297,80448
298,87953
299,60817
300,95117
301,57787
302,82270
303,43883
304,8898
305,99835
306,89587
307,41868
308,76686
309,7393
310,56617
311,11322
312,65089
313,9209
314,30060
315,46118
316,96683
317,66166
318,100743
319,37378
320,15167
321,60243
322,45448
323,63357
324,44993
325,16505
326,8296
327,71755
328,78820
329,46114
330,67564
331,13650
332,84955
333,3638
334,6994
335,33811
336,88644
337,99389
338,75359
339,92100
340,81190
341,40568
342,53990
343,11279
344,89128
345,22040
346,61291
347,56338
348,86229
349,457
350,98851
351,87837
352,101634
353,53282
354,62893
355,4392
356,38668
357,20749
358,85597
359,54076
360,36216
361,56134
362,55110
363,8232
364,41491
365,20415
366,4848
367,76286
368,67336
369,70101
370,88011
371,93265
372,40767
373,70167
374,73689
375,87167
376,13303
377,51212
378,102139
379,97474
380,72896
